# Simulation 4 (Up to date)
# 464 data points written for 53 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
7.009,316.712,4.079,-21.716,4.88,23.035,27.215,0.001,27.215,0.003,0.644,7.684,45,3.466e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.015,1.369e5,0,0.857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.035,12.942,976.109,339.141,0.008,0.414
7.017,316.745,3.906,-20.882,4.708,22.123,27.22,0.001,27.22,0.003,0.584,7.305,45,3.466e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.014,1.321e5,0,0.802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.046,12.941,976.105,339.141,0.008,0.414
7.026,316.779,3.726,-20.041,4.532,21.203,27.225,0.001,27.225,0.003,0.522,6.922,45,3.467e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.014,1.272e5,0,0.747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.058,12.941,976.101,339.141,0.009,0.414
7.036,316.814,3.539,-19.205,4.349,20.288,27.23,0.001,27.23,0.003,0.458,6.539,45,3.468e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.013,1.22e5,0,0.692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.07,12.941,976.097,339.141,0.01,0.414
7.047,316.851,3.342,-18.375,4.16,19.379,27.234,0.001,27.234,0.003,0.392,6.157,45,3.468e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.013,1.167e5,0,0.638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.084,12.941,976.093,339.141,0.011,0.414
7.059,316.889,3.136,-17.551,3.964,18.476,27.238,0.001,27.238,0.003,0.324,5.774,45,3.469e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.112e5,0,0.584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1,12.94,976.089,339.141,0.012,0.414
7.071,316.927,2.93,-16.712,3.758,17.541,27.242,0.001,27.242,0.003,0.258,5.33,45,3.469e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.055e5,0,0.527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.096,12.94,976.084,339.141,0.012,0.414
7.084,316.965,2.714,-15.914,3.543,16.647,27.245,0.001,27.245,0.003,0.192,4.885,45,3.47e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.011,9.941e4,0,0.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.084,12.94,976.08,339.141,0.014,0.415
7.1,317.004,2.484,-15.138,3.316,15.777,27.247,0.001,27.247,0.003,0.125,4.447,45,3.47e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.01,9.305e4,0,0.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.071,12.94,976.075,339.14,0.015,0.415
7.117,317.045,2.237,-14.371,3.077,14.92,27.249,0.001,27.249,0.003,0.056,4.01,45,3.47e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.01,8.635e4,0,0.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.057,12.939,976.071,339.14,0.017,0.415
7.138,317.088,1.955,-13.635,2.827,14.108,27.249,0.001,27.249,0.003,0.019,3.624,45,3.47e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.009,7.932e4,0,0.319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.061,12.939,976.066,339.14,0.021,0.415
7.162,317.132,1.643,-12.881,2.564,13.277,27.248,0.001,27.248,0.003,0.097,3.221,45,3.47e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.008,7.196e4,0,0.269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.067,12.939,976.061,339.14,0.024,0.415
7.191,317.174,1.291,-12.149,2.29,12.47,27.244,0.001,27.244,0.003,0.179,2.814,45,3.469e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.008,6.425e4,0,0.221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.069,12.939,976.056,339.14,0.029,0.415
7.226,317.213,0.883,-11.448,2.009,11.698,27.236,0.001,27.236,0.003,0.264,2.404,45,3.468e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.007,5.637e4,0,0.176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.069,12.938,976.051,339.14,0.036,0.415
7.271,317.242,0.4,-10.782,1.74,10.96,27.222,0.001,27.222,0.003,0.353,1.97,45,3.467e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.006,4.884e4,0,0.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.046,12.938,976.046,339.139,0.045,0.415
# Event APOGEE occurred at t=7.337 seconds
7.337,317.246,-0.273,-10.192,1.607,10.323,27.195,0.001,27.195,0.003,0.461,1.635,45,3.463e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.005,4.51e4,0,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.044,12.938,976.043,339.139,0.066,0.415
7.433,317.175,-1.194,-9.567,1.853,9.662,27.145,0.001,27.145,0.003,0.591,1.352,45,3.457e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.005,5.201e4,0,0.083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.009,12.938,976.042,339.139,0.096,0.416
7.538,317.004,-2.097,-8.655,2.382,8.739,27.076,0.001,27.076,0.003,0.717,1.211,45,3.448e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.005,6.685e4,0,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.847,12.938,976.051,339.14,0.104,0.416
7.6,316.859,-2.535,-7.016,2.747,7.182,27.029,0.001,27.029,0.003,0.813,1.534,45,3.442e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.007,7.708e4,0,0.192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.87,12.939,976.071,339.14,0.062,0.416
7.661,316.695,-2.896,-5.984,3.025,6.158,26.977,0.001,26.977,0.003,0.9,1.451,45,3.436e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.008,8.49e4,0,0.247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.776,12.94,976.088,339.141,0.06,0.416
7.716,316.528,-3.166,-4.901,3.28,5.156,26.925,0.001,26.925,0.003,0.989,1.601,45,3.429e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.009,9.206e4,0,0.312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.846,12.941,976.107,339.141,0.055,0.416
7.78,316.317,-3.428,-4.081,3.49,4.296,26.859,0.001,26.859,0.003,1.075,1.342,45,3.42e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.01,9.795e4,0,0.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.731,12.943,976.127,339.142,0.064,0.416
7.849,316.072,-3.648,-3.174,3.684,3.378,26.781,0.001,26.781,0.003,1.155,1.154,45,3.411e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.01,1.034e5,0,0.407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.672,12.944,976.151,339.143,0.069,0.417
7.93,315.77,-3.835,-2.315,3.865,2.602,26.685,0.001,26.685,0.003,1.251,1.188,45,3.398e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.011,1.085e5,0,0.459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.733,12.946,976.18,339.144,0.081,0.417
8.033,315.364,-3.994,-1.54,4.019,1.978,26.548,0.001,26.548,0.003,1.379,1.241,45,3.381e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.011,1.128e5,0,0.505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.826,12.947,976.215,339.145,0.104,0.417
8.17,314.811,-4.117,-0.898,4.125,1.225,26.352,0.001,26.352,0.003,1.493,0.834,45,3.356e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.158e5,0,0.541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.753,12.95,976.263,339.147,0.136,0.417
8.417,313.782,-4.205,-0.355,4.207,0.817,25.96,0.001,25.96,0.003,1.675,0.736,45,3.306e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.181e5,0,0.573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.813,12.954,976.328,339.149,0.248,0.417
8.917,311.684,-4.185,0.038,4.186,0.534,25.056,0.001,25.056,0.003,1.941,0.533,45,3.191e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.175e5,0,0.596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.903,12.96,976.449,339.153,0.5,0.417
9.417,309.588,-4.201,-0.031,4.201,0.806,23.985,0.001,23.985,0.003,2.344,0.805,45,3.054e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.179e5,0,0.593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.286,12.974,976.695,339.161,0.5,0.417
9.917,307.49,-4.191,0.02,4.191,0.454,22.756,0.001,22.756,0.004,2.571,0.454,45,2.898e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.177e5,0,0.595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.538,12.988,976.941,339.169,0.5,0.417
10.274,305.994,-4.187,0.01,4.187,0.947,21.898,0.001,21.898,0.004,2.233,0.947,45,2.789e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.176e5,0,0.596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.167,13.001,977.187,339.178,0.357,0.417
10.774,303.895,-4.21,-0.045,4.21,0.329,20.823,0.001,20.823,0.004,2.07,0.326,45,2.652e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.182e5,0,0.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.093,13.011,977.362,339.184,0.5,0.417
11.274,301.798,-4.181,0.058,4.181,0.154,19.77,0.001,19.77,0.004,2.142,0.143,45,2.518e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.174e5,0,0.596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.131,13.025,977.608,339.192,0.5,0.418
11.774,299.698,-4.219,-0.076,4.219,0.077,18.7,0.001,18.7,0.004,2.139,0.006,45,2.381e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.185e5,0,0.588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.139,13.038,977.854,339.2,0.5,0.418
12.274,297.602,-4.164,0.109,4.164,0.317,17.593,0.001,17.593,0.005,2.288,0.298,45,2.24e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.17e5,0,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.265,13.052,978.1,339.208,0.5,0.418
12.726,295.707,-4.217,-0.116,4.217,0.794,16.639,0.001,16.639,0.005,1.933,0.785,45,2.119e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.185e5,0,0.588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.95,13.066,978.346,339.217,0.452,0.418
13.226,293.613,-4.161,0.111,4.161,0.512,15.735,0.001,15.735,0.005,1.683,0.5,45,2.004e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.17e5,0,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.72,13.078,978.569,339.224,0.5,0.418
13.48,292.558,-4.174,-0.05,4.182,1.47,15.262,0.001,15.262,0.005,2.054,1.469,45,1.944e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.176e5,0,0.596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.309,13.092,978.814,339.232,0.253,0.418
13.753,291.412,-4.197,-0.084,4.198,0.552,14.679,0.001,14.679,0.006,2.204,0.546,45,1.869e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.18e5,0,0.589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.289,13.098,978.938,339.237,0.274,0.418
14.099,289.961,-4.193,0.012,4.193,0.24,13.931,0.001,13.931,0.006,2.121,0.24,45,1.774e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.179e5,0,0.594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.101,13.106,979.072,339.241,0.346,0.418
14.599,287.863,-4.196,-0.007,4.196,0.21,12.897,0.001,12.897,0.006,2.016,0.209,45,1.642e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.18e5,0,0.593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.031,13.115,979.242,339.247,0.5,0.418
15.099,285.77,-4.177,0.037,4.178,0.751,11.983,0.001,11.983,0.007,1.641,0.75,45,1.526e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.175e5,0,0.597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.696,13.129,979.488,339.255,0.5,0.418
15.599,283.673,-4.213,-0.07,4.213,0.341,11.204,0.001,11.204,0.007,1.474,0.334,45,1.427e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.185e5,0,0.589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.498,13.142,979.734,339.263,0.5,0.419
16.014,281.938,-4.16,0.127,4.16,0.865,10.519,0.001,10.519,0.008,1.829,0.856,45,1.34e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.17e5,0,0.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.837,13.156,979.98,339.272,0.414,0.419
16.441,280.145,-4.226,-0.154,4.226,0.17,9.744,0.001,9.744,0.009,1.798,0.072,45,1.241e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.189e5,0,0.584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.798,13.167,980.183,339.278,0.427,0.419
16.941,278.053,-4.145,0.16,4.145,0.363,8.804,0.001,8.804,0.009,1.961,0.325,45,1.121e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.167e5,0,0.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.936,13.179,980.394,339.285,0.5,0.419
17.441,275.953,-4.253,-0.216,4.253,0.272,7.803,0.001,7.803,0.011,2.043,0.165,45,9.937e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.197e5,0,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.032,13.193,980.639,339.294,0.5,0.419
17.941,273.863,-4.108,0.292,4.108,0.326,6.763,0.001,6.763,0.012,2.117,0.146,45,8.613e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.013,1.156e5,0,0.611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.105,13.206,980.885,339.302,0.5,0.419
18.437,271.78,-4.29,-0.368,4.29,0.718,5.789,0.001,5.789,0.014,1.811,0.616,45,7.372e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.208e5,0,0.572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.848,13.22,981.13,339.31,0.496,0.42
18.781,270.333,-4.124,0.484,4.124,0.731,5.134,0.001,5.134,0.016,1.999,0.547,45,6.538e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.013,1.161e5,0,0.623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.039,13.233,981.375,339.318,0.344,0.42
19.117,268.933,-4.228,-0.311,4.228,0.327,4.469,0.001,4.469,0.019,1.966,0.101,45,5.691e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.191e5,0,0.574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.956,13.243,981.544,339.324,0.335,0.42
19.617,266.841,-4.14,0.176,4.14,0.189,3.478,0.001,3.478,0.024,1.999,0.067,45,4.429e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.166e5,0,0.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.994,13.252,981.709,339.33,0.5,0.42
20.117,264.742,-4.256,-0.234,4.256,0.247,2.488,0.001,2.488,0.033,1.959,0.079,45,3.168e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.199e5,0,0.579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.965,13.266,981.954,339.338,0.5,0.42
20.617,262.653,-4.097,0.318,4.097,0.385,1.481,0.001,1.481,0.056,2.068,0.217,45,1.886e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.013,1.155e5,0,0.612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.051,13.279,982.2,339.346,0.5,0.42
21.117,260.552,-4.309,-0.424,4.309,0.431,0.438,0.001,0.438,0.189,2.104,0.073,45,5.58e-6,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.215e5,0,0.567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1,13.293,982.445,339.354,0.5,0.421
21.559,258.701,-4.051,0.583,4.051,0.729,-0.451,0.001,0.451,179.816,1.911,0.437,45,-5.738e-6,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.013,1.142e5,0,0.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.923,13.306,982.692,339.363,0.443,0.421
21.843,257.529,-4.225,-0.613,4.226,0.836,-1.015,0.001,1.015,179.918,2.071,0.568,45,-1.292e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.191e5,0,0.557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.161,13.318,982.909,339.37,0.283,0.421
22.191,256.071,-4.157,0.196,4.157,0.688,-1.775,0.001,1.775,179.953,2.301,0.659,45,-2.26e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.172e5,0,0.606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.35,13.326,983.046,339.374,0.348,0.421
22.541,254.605,-4.206,-0.14,4.206,0.308,-2.564,0.001,2.564,179.968,2.204,0.275,45,-3.266e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.186e5,0,0.585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.182,13.336,983.217,339.38,0.35,0.421
22.954,252.882,-4.146,0.144,4.146,1.085,-3.383,0.001,3.383,179.976,1.761,1.075,45,-4.308e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.169e5,0,0.605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.75,13.345,983.389,339.386,0.413,0.421
23.355,251.202,-4.222,-0.189,4.222,0.215,-4.081,0.001,4.081,179.98,1.719,0.103,45,-5.197e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.191e5,0,0.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.716,13.356,983.591,339.393,0.401,0.421
23.855,249.113,-4.135,0.174,4.135,0.411,-4.987,0.001,4.987,179.983,1.905,0.372,45,-6.351e-5,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.012,1.166e5,0,0.604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.877,13.367,983.788,339.399,0.5,0.421
