# Spaceport America (Up to date)
# 1049 data points written for 34 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23.6 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
138.279,1188.836,-20.766,0.022,20.766,0.031,1863.614,2.695,1863.616,0.083,1.927,0.023,33,-106.994,9.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.969,-2.691,726.544,329.668,0.5,0.772
138.779,1178.455,-20.755,0.022,20.755,0.025,1860.447,2.695,1860.449,0.083,1.934,0.013,33,-106.994,9.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,-2.624,727.495,329.709,0.5,0.773
139.279,1168.081,-20.744,0.022,20.745,0.09,1857.24,2.694,1857.242,0.083,1.977,0.087,33,-106.994,9.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.123,-2.556,728.444,329.75,0.5,0.773
139.779,1157.711,-20.733,0.022,20.734,0.072,1854.025,2.694,1854.027,0.083,1.943,0.069,33,-106.994,9.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.837,-2.489,729.393,329.791,0.5,0.773
140.279,1147.347,-20.723,0.022,20.723,0.026,1850.832,2.693,1850.834,0.083,1.95,0.014,33,-106.994,9.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.977,-2.421,730.342,329.832,0.5,0.773
140.779,1136.989,-20.711,0.022,20.712,0.131,1847.581,2.693,1847.583,0.084,2.014,0.129,33,-106.994,9.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.228,-2.354,731.29,329.872,0.5,0.773
141.279,1126.636,-20.701,0.022,20.701,0.081,1844.245,2.692,1844.247,0.084,2.053,0.078,33,-106.994,9.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.184,-2.287,732.237,329.913,0.5,0.774
141.779,1116.288,-20.69,0.021,20.69,0.026,1840.871,2.692,1840.873,0.084,2.06,0.014,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.089,-2.219,733.185,329.954,0.5,0.774
142.279,1105.946,-20.679,0.022,20.68,0.15,1837.552,2.691,1837.554,0.084,1.986,0.148,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.753,-2.152,734.131,329.995,0.5,0.774
142.779,1095.609,-20.668,0.021,20.668,0.021,1834.295,2.69,1834.297,0.084,1.985,0.003,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.984,-2.085,735.077,330.036,0.5,0.774
143.279,1085.278,-20.658,0.021,20.658,0.053,1831.06,2.69,1831.062,0.084,1.96,0.049,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.887,-2.018,736.023,330.076,0.5,0.774
143.779,1074.951,-20.647,0.022,20.648,0.107,1827.801,2.689,1827.803,0.084,2.012,0.104,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.185,-1.95,736.968,330.117,0.5,0.775
144.279,1064.631,-20.636,0.021,20.636,0.04,1824.514,2.689,1824.516,0.084,1.996,0.034,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.947,-1.883,737.913,330.158,0.5,0.775
144.779,1054.315,-20.625,0.022,20.627,0.153,1821.303,2.688,1821.305,0.085,1.92,0.152,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.682,-1.816,738.857,330.198,0.5,0.775
145.279,1044.005,-20.615,0.021,20.615,0.039,1818.14,2.688,1818.142,0.085,1.936,0.033,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.995,-1.749,739.8,330.239,0.5,0.775
145.779,1033.7,-20.604,0.021,20.605,0.053,1814.983,2.687,1814.985,0.085,1.912,0.048,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.84,-1.682,740.744,330.28,0.5,0.776
146.279,1023.401,-20.594,0.021,20.594,0.021,1811.846,2.687,1811.848,0.085,1.913,9.917e-4,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.92,-1.615,741.686,330.32,0.5,0.776
146.779,1013.106,-20.584,0.021,20.584,0.051,1808.728,2.686,1808.73,0.085,1.89,0.046,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.821,-1.548,742.628,330.361,0.5,0.776
147.279,1002.818,-20.571,0.024,20.575,0.254,1805.524,2.686,1805.526,0.085,2.016,0.253,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.425,-1.481,743.57,330.401,0.5,0.776
147.779,992.534,-20.561,0.02,20.562,0.112,1802.263,2.685,1802.265,0.085,1.961,0.11,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.791,-1.414,744.511,330.442,0.5,0.776
148.279,982.256,-20.552,0.02,20.552,0.022,1799.05,2.684,1799.052,0.085,1.956,0.009,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.947,-1.348,745.452,330.482,0.5,0.777
148.779,971.983,-20.541,0.021,20.542,0.132,1795.787,2.684,1795.789,0.086,2.022,0.131,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.235,-1.281,746.392,330.523,0.5,0.777
149.279,961.715,-20.531,0.021,20.531,0.073,1792.499,2.683,1792.501,0.086,1.987,0.07,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.881,-1.214,747.359,330.563,0.5,0.777
149.779,951.452,-20.52,0.022,20.521,0.155,1789.176,2.683,1789.178,0.086,2.064,0.154,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.314,-1.147,748.347,330.604,0.5,0.778
150.279,941.196,-20.508,0.024,20.511,0.231,1785.697,2.682,1785.699,0.086,2.179,0.23,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.549,-1.081,749.335,330.644,0.5,0.778
150.779,930.944,-20.498,0.02,20.498,0.056,1782.144,2.682,1782.146,0.086,2.152,0.052,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.075,-1.014,750.322,330.684,0.5,0.779
151.279,920.698,-20.487,0.021,20.487,0.022,1778.616,2.681,1778.618,0.086,2.149,0.006,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.144,-0.947,751.309,330.725,0.5,0.779
151.779,910.457,-20.476,0.021,20.477,0.034,1775.101,2.681,1775.103,0.087,2.136,0.026,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1,-0.881,752.295,330.765,0.5,0.779
152.279,900.222,-20.466,0.022,20.466,0.06,1771.574,2.68,1771.576,0.087,2.164,0.056,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.258,-0.814,753.281,330.806,0.5,0.779
152.779,889.992,-20.455,0.022,20.455,0.028,1768.017,2.679,1768.019,0.087,2.173,0.018,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.207,-0.748,754.266,330.846,0.5,0.78
153.279,879.767,-20.444,0.022,20.445,0.123,1764.501,2.679,1764.503,0.087,2.113,0.121,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.927,-0.681,755.251,330.886,0.5,0.78
153.779,869.548,-20.433,0.022,20.434,0.15,1761.096,2.678,1761.098,0.087,2.039,0.148,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.809,-0.615,756.235,330.926,0.5,0.78
154.279,859.334,-20.422,0.021,20.422,0.028,1757.759,2.678,1757.761,0.087,2.029,0.018,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.006,-0.548,757.218,330.967,0.5,0.78
154.779,849.126,-20.411,0.021,20.412,0.066,1754.456,2.677,1754.458,0.087,1.998,0.062,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.905,-0.482,758.201,331.007,0.5,0.78
155.279,838.923,-20.401,0.022,20.401,0.107,1751.221,2.677,1751.223,0.088,1.946,0.105,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.786,-0.415,759.184,331.047,0.5,0.78
155.779,828.725,-20.389,0.023,20.391,0.18,1748.102,2.676,1748.104,0.088,1.857,0.179,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.579,-0.349,760.166,331.087,0.5,0.781
156.279,818.533,-20.379,0.02,20.379,0.042,1745.071,2.676,1745.073,0.088,1.838,0.036,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.787,-0.283,761.148,331.128,0.5,0.781
156.779,808.346,-20.369,0.021,20.369,0.043,1742.04,2.675,1742.042,0.088,1.857,0.038,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.922,-0.217,762.129,331.168,0.5,0.781
157.279,798.164,-20.358,0.021,20.358,0.04,1739.007,2.674,1739.009,0.088,1.84,0.034,33,-106.994,9.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.793,-0.15,763.109,331.208,0.5,0.781
157.779,787.988,-20.348,0.021,20.348,0.021,1735.988,2.674,1735.99,0.088,1.84,1.905e-5,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.846,-0.084,764.089,331.248,0.5,0.782
158.279,777.817,-20.337,0.021,20.337,0.043,1732.984,2.673,1732.986,0.088,1.822,0.038,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.767,-0.018,765.069,331.288,0.5,0.782
158.779,767.651,-20.326,0.023,20.328,0.209,1729.911,2.673,1729.913,0.089,1.925,0.208,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.257,0.048,766.048,331.328,0.5,0.782
159.279,757.491,-20.315,0.02,20.316,0.1,1726.712,2.672,1726.714,0.089,1.974,0.097,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.132,0.114,767.026,331.368,0.5,0.782
159.779,747.336,-20.305,0.02,20.305,0.034,1723.485,2.672,1723.487,0.089,1.96,0.027,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.923,0.18,768.004,331.408,0.5,0.782
160.279,737.186,-20.295,0.02,20.295,0.021,1720.271,2.671,1720.273,0.089,1.959,0.004,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.958,0.246,768.982,331.448,0.5,0.782
160.779,727.041,-20.285,0.021,20.285,0.086,1717.092,2.671,1717.094,0.089,1.917,0.083,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.792,0.312,769.959,331.488,0.5,0.783
161.279,716.901,-20.274,0.021,20.274,0.042,1713.962,2.67,1713.964,0.089,1.899,0.037,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.845,0.378,770.935,331.528,0.5,0.783
161.779,706.766,-20.264,0.021,20.264,0.021,1710.846,2.67,1710.848,0.089,1.9,0.004,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.911,0.444,771.911,331.568,0.5,0.784
162.279,696.637,-20.253,0.021,20.254,0.119,1707.68,2.669,1707.683,0.09,1.959,0.118,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.148,0.51,772.887,331.608,0.5,0.784
162.779,686.513,-20.243,0.02,20.243,0.029,1704.458,2.669,1704.46,0.09,1.97,0.021,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.008,0.576,773.862,331.648,0.5,0.784
163.279,676.394,-20.233,0.021,20.233,0.051,1701.208,2.668,1701.21,0.09,1.993,0.047,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.071,0.642,774.836,331.688,0.5,0.784
163.779,666.28,-20.223,0.02,20.223,0.031,1697.929,2.668,1697.931,0.09,2.005,0.024,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.047,0.707,775.81,331.728,0.5,0.784
164.279,656.171,-20.212,0.02,20.212,0.021,1694.638,2.667,1694.64,0.09,2.007,0.004,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.018,0.773,776.784,331.767,0.5,0.784
164.779,646.068,-20.202,0.02,20.202,0.022,1691.349,2.667,1691.351,0.09,2.002,0.009,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.994,0.839,777.757,331.807,0.5,0.785
165.279,635.969,-20.192,0.02,20.192,0.056,1688.086,2.666,1688.088,0.09,1.976,0.052,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9,0.904,778.729,331.847,0.5,0.785
165.779,625.876,-20.182,0.021,20.182,0.102,1684.803,2.666,1684.805,0.091,2.026,0.1,33,-106.994,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.188,0.97,779.701,331.887,0.5,0.785
166.279,615.788,-20.171,0.021,20.172,0.111,1681.523,2.665,1681.526,0.091,1.972,0.11,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.806,1.036,780.673,331.927,0.5,0.785
166.779,605.704,-20.161,0.02,20.161,0.056,1678.311,2.665,1678.313,0.091,1.946,0.052,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.869,1.101,781.644,331.966,0.5,0.785
167.279,595.626,-20.151,0.02,20.152,0.087,1675.154,2.664,1675.156,0.091,1.903,0.084,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.777,1.167,782.614,332.006,0.5,0.786
167.779,585.553,-20.141,0.02,20.142,0.089,1672.067,2.663,1672.069,0.091,1.86,0.087,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.73,1.232,783.584,332.046,0.5,0.786
168.279,575.485,-20.131,0.02,20.131,0.074,1668.987,2.663,1668.989,0.091,1.896,0.072,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.012,1.298,784.554,332.085,0.5,0.786
168.779,565.422,-20.121,0.02,20.121,0.065,1665.852,2.662,1665.854,0.092,1.926,0.062,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.027,1.363,785.523,332.125,0.5,0.786
169.279,555.364,-20.111,0.02,20.111,0.076,1662.722,2.662,1662.724,0.092,1.89,0.073,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.781,1.429,786.492,332.165,0.5,0.787
169.779,545.311,-20.101,0.02,20.101,0.02,1659.625,2.661,1659.627,0.092,1.887,0.005,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.884,1.494,787.46,332.204,0.5,0.787
170.279,535.263,-20.091,0.02,20.092,0.068,1656.556,2.661,1656.558,0.092,1.854,0.065,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.758,1.559,788.427,332.244,0.5,0.787
170.779,525.22,-20.081,0.02,20.082,0.044,1653.53,2.66,1653.532,0.092,1.835,0.039,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.78,1.625,789.395,332.283,0.5,0.787
171.279,515.181,-20.072,0.02,20.072,0.022,1650.523,2.66,1650.525,0.092,1.83,0.009,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.821,1.69,790.361,332.323,0.5,0.787
171.779,505.148,-20.062,0.02,20.062,0.076,1647.49,2.659,1647.492,0.092,1.867,0.074,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.986,1.755,791.327,332.363,0.5,0.787
172.279,495.12,-20.052,0.02,20.052,0.095,1644.465,2.659,1644.467,0.093,1.821,0.093,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.683,1.82,792.293,332.402,0.5,0.787
172.779,485.096,-20.042,0.019,20.042,0.02,1641.481,2.658,1641.483,0.093,1.818,0.007,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.812,1.886,793.258,332.442,0.5,0.788
173.279,475.078,-20.032,0.021,20.033,0.161,1638.434,2.658,1638.436,0.093,1.897,0.16,33,-106.995,9.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.149,1.951,794.223,332.481,0.5,0.788
173.779,465.065,-20.022,0.019,20.022,0.021,1635.325,2.657,1635.327,0.093,1.893,0.008,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.886,2.016,795.2,332.521,0.5,0.788
174.279,455.056,-20.012,0.02,20.012,0.046,1632.202,2.657,1632.204,0.093,1.914,0.041,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.983,2.081,796.213,332.56,0.5,0.788
174.779,445.053,-20.001,0.022,20.003,0.166,1628.995,2.656,1628.997,0.093,1.996,0.165,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.255,2.146,797.226,332.599,0.5,0.788
175.279,435.055,-19.991,0.02,19.991,0.027,1625.727,2.656,1625.729,0.094,1.987,0.018,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.964,2.211,798.239,332.639,0.5,0.789
175.779,425.061,-19.981,0.02,19.981,0.042,1622.452,2.655,1622.455,0.094,2.006,0.037,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.067,2.276,799.251,332.678,0.5,0.789
176.279,415.073,-19.971,0.021,19.972,0.13,1619.215,2.655,1619.217,0.094,1.941,0.129,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.748,2.341,800.262,332.718,0.5,0.789
176.779,405.09,-19.961,0.02,19.961,0.04,1616.045,2.654,1616.047,0.094,1.924,0.035,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.875,2.406,801.273,332.757,0.5,0.789
177.279,395.113,-19.95,0.021,19.952,0.155,1612.827,2.654,1612.829,0.094,2,0.154,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.241,2.471,802.284,332.796,0.5,0.789
177.779,385.14,-19.94,0.021,19.941,0.157,1609.481,2.653,1609.484,0.094,2.078,0.155,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.321,2.536,803.293,332.836,0.5,0.789
178.279,375.173,-19.93,0.019,19.93,0.055,1606.093,2.653,1606.096,0.095,2.053,0.051,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.979,2.6,804.303,332.875,0.5,0.789
178.779,365.21,-19.92,0.02,19.92,0.039,1602.713,2.652,1602.715,0.095,2.069,0.033,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.125,2.665,805.312,332.914,0.5,0.79
179.279,355.253,-19.909,0.022,19.911,0.203,1599.401,2.652,1599.403,0.095,1.968,0.202,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.664,2.73,806.32,332.953,0.5,0.79
179.779,345.301,-19.9,0.019,19.9,0.039,1596.159,2.651,1596.161,0.095,1.985,0.033,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.041,2.795,807.328,332.993,0.5,0.79
180.279,335.354,-19.889,0.02,19.89,0.114,1592.856,2.651,1592.859,0.095,2.041,0.112,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.218,2.859,808.335,333.032,0.5,0.79
180.779,325.411,-19.88,0.02,19.88,0.063,1589.533,2.65,1589.535,0.096,2.011,0.059,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.926,2.924,809.342,333.071,0.5,0.79
181.279,315.474,-19.869,0.021,19.87,0.138,1586.289,2.65,1586.291,0.096,1.943,0.137,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.739,2.989,810.348,333.11,0.5,0.791
181.779,305.542,-19.86,0.02,19.86,0.08,1583.133,2.649,1583.135,0.096,1.904,0.077,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.792,3.053,811.354,333.149,0.5,0.791
182.279,295.615,-19.85,0.02,19.85,0.103,1580.051,2.649,1580.053,0.096,1.854,0.101,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.704,3.118,812.359,333.188,0.5,0.791
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=182.28 seconds
182.779,285.692,-19.84,0.019,19.84,0.02,1577.011,2.648,1577.013,0.096,1.852,0.003,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.853,3.182,813.364,333.227,0.5,0.791
182.785,285.579,-19.34,86.119,19.341,86.128,1576.975,2.648,1576.978,0.096,1.86,1.235,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.108,3.247,814.368,333.267,0.006,0.791
182.786,285.555,-19.241,81.346,19.242,81.354,1576.968,2.648,1576.97,0.096,1.861,1.151,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.104,3.248,814.38,333.267,0.001,0.792
182.787,285.53,-19.136,80.416,19.137,80.424,1576.96,2.648,1576.962,0.096,1.862,1.135,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.104,3.248,814.382,333.267,0.001,0.792
182.788,285.505,-19.03,79.433,19.032,79.441,1576.952,2.648,1576.954,0.096,1.864,1.118,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.103,3.248,814.385,333.267,0.001,0.792
182.79,285.479,-18.924,78.451,18.925,78.458,1576.944,2.648,1576.946,0.096,1.865,1.101,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.102,3.248,814.387,333.267,0.001,0.792
182.791,285.453,-18.817,77.469,18.819,77.476,1576.935,2.648,1576.937,0.096,1.867,1.084,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.101,3.248,814.39,333.267,0.001,0.792
182.793,285.427,-18.71,76.487,18.711,76.494,1576.927,2.648,1576.929,0.096,1.868,1.067,33,-106.995,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1,3.248,814.393,333.267,0.001,0.792
