# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Air temperature (°C),Air pressure (kPa),Shenanigans (sqrt_Hz)
5.29,-17.57981,2.964674,0,0,0,0,89.64793,118.9623
5.3,-17.55777,2.958701,0,0,0,0,89.63875,118.7896
5.31,-17.53564,2.95269,0,0,0,0,89.62561,118.617
5.32,-17.51346,2.946648,0,0,0,0,89.61552,118.4447
5.33,-17.49123,2.94058,0,0,0,0,89.61145,118.2726
5.34,-17.46898,2.934494,0,0,0,0,89.60241,118.1007
5.35,-17.44671,2.928392,0,0,0,0,89.58539,117.9291
5.36,-17.42443,2.92228,0,0,0,0,89.57739,117.7576
5.37,-17.40216,2.916161,0,0,0,0,89.56441,117.5864
5.38,-17.3799,2.910038,0,0,0,0,89.55743,117.4153
5.39,-17.35766,2.903913,0,0,0,0,89.55047,117.2445
5.4,-17.33544,2.89779,0,0,0,0,89.53652,117.074
5.41,-17.31326,2.891669,0,0,0,0,89.52956,116.9036
5.42,-17.29111,2.885554,0,0,0,0,89.51962,116.7334
5.43,-17.26899,2.879445,0,0,0,0,89.50767,116.5635
5.44,-17.24693,2.873343,0,0,0,0,89.49873,116.3938
5.45,-17.2249,2.86725,0,0,0,0,89.49579,116.2242
5.46,-17.20292,2.861167,0,0,0,0,89.47784,116.0551
5.47,-17.181,2.855094,0,0,0,0,89.46989,115.8859
5.48,-17.15912,2.849033,0,0,0,0,89.45694,115.717
5.49,-17.1373,2.842983,0,0,0,0,89.45199,115.5483
5.5,-17.11553,2.836945,0,0,0,0,89.44403,115.3799
5.51,-17.09382,2.830921,0,0,0,0,89.43207,115.2117
5.52,-17.07216,2.82491,0,0,0,0,89.42511,115.0437
5.53,-17.05056,2.818912,0,0,0,0,89.41214,114.8759
5.54,-17.02902,2.812928,0,0,0,0,89.40916,114.7083
5.55,-17.00758,2.806975,0,0,0,0,89.39518,114.541
5.56,-16.98621,2.801039,0,0,0,0,89.38819,114.3739
5.57,-16.9649,2.795118,0,0,0,0,89.3832,114.207
5.58,-16.94364,2.789211,0,0,0,0,89.3692,114.0404
5.59,-16.92244,2.783318,0,0,0,0,89.36219,113.8739
5.6,-16.90131,2.777441,0,0,0,0,89.34918,113.7076
5.61,-16.88023,2.771577,0,0,0,0,89.33816,113.5415
5.62,-16.85921,2.765729,0,0,0,0,89.32714,113.3756
5.63,-16.83826,2.759895,0,0,0,0,89.32011,113.2099
